,run_id,pipeline_name,invoked_by,run_start,run_end,status,message
0,37fb30c4-cb1e-425c-a35e-bfae7f59f6bd,CD_from_blob_to_staging_copy1,Test_Blob_event,2023-03-31 08:29:16.445561+00:00,2023-03-31 08:29:31.561085+00:00,Failed,"Operation on target CD_blob_to_staging failed: ErrorCode=UserErrorFileNotFound,'Type=Microsoft.DataTransfer.Common.Shared.HybridDeliveryException,Message=ADLS Gen2 operation failed for: Operation returned an invalid status code 'NotFound'. Account: 'jgastorage'. FileSystem: 'functions'. Path: 'Imported/2023/20230331AzureUsage.csv'. ErrorCode: 'PathNotFound'. Message: 'The specified path does not exist.'. RequestId: '2efb1946-301f-005f-0baa-63c73a000000'. TimeStamp: 'Fri, 31 Mar 2023 08:29:27 GMT'.,Source=Microsoft.DataTransfer.ClientLibrary,''Type=Microsoft.Azure.Storage.Data.Models.ErrorSchemaException,Message=Operation returned an invalid status code 'NotFound',Source=Microsoft.DataTransfer.ClientLibrary,'"
1,dce1bb42-4477-42ac-85b7-138edb3e450a,CD_from_blob_to_staging_copy1,Test_Blob_event,2023-03-31 09:03:30.048915+00:00,2023-03-31 09:03:55.000078+00:00,Failed,"Operation on target CD_blob_to_staging failed: Failure happened on 'Sink' side. ErrorCode=UserErrorInvalidColumnName,'Type=Microsoft.DataTransfer.Common.Shared.HybridDeliveryException,Message=The column Prop_0 is not found in target side,Source=Microsoft.DataTransfer.ClientLibrary,'"
2,bfe075da-f6e1-4837-9074-e8f2da5b70a2,CD_from_blob_to_staging_copy1,Test_Blob_event,2023-03-31 09:08:56.347669+00:00,2023-03-31 09:09:13.992360+00:00,Failed,"Operation on target CD_blob_to_staging failed: Failure happened on 'Sink' side. ErrorCode=UserErrorInvalidColumnName,'Type=Microsoft.DataTransfer.Common.Shared.HybridDeliveryException,Message=The column Prop_0 is not found in target side,Source=Microsoft.DataTransfer.ClientLibrary,'"
